Station,Train_samples,Test_samples,R2_train,R2_test,RMSE_test
兰山嘴,590,148,0.873146476759643,-3.0836954845226314,0.6619546949393498
拖山,616,155,0.9052431843898822,-0.7577344487890783,1.8483152118121648
锡东水厂,648,162,0.7977637518516864,-0.10631143473355231,0.6349507954602965
