Station,Features,Train_samples,Test_samples,R2_train,R2_test,RMSE_test
兰山嘴,"Temp_lag24, TN_lag7, NH3N_lag7, CODMn_lag3, EC_lag24",590,148,0.30995150143421335,-0.5903082474962842,0.4130876845169452
拖山,"Temp_lag3, Temp_lag12, CODMn_lag30, Temp_lag18, DO_lag3",616,155,0.43563353750611133,-0.9335985478414355,1.9385747926277457
锡东水厂,"Temp_lag3, TP_lag3, CODMn_lag3, EC_lag24, CODMn_lag30",648,162,0.295635104742335,-0.10219194358999717,0.6337675329588661
