Station,训练天数,测试天数,持久性_R2,持久性_RMSE,线性回归(y_lag1)_R2,RF全特征_TrainR2,RF全特征_TestR2,RF全特征_RMSE,Top5_特征,RF_Top5_TrainR2,RF_Top5_TestR2,RF_Top5_RMSE,Ridge_Top5_TrainR2,Ridge_Top5_TestR2,Ridge_Top5_RMSE,Top5_排除EC_特征,RF_ExEC_TestR2,RF_ExEC_RMSE,Ridge_ExEC_TestR2,Ridge_ExEC_RMSE,持久性_MAE,线性回归_MAE,Ridge_Top5_MAE,RF_Top5_MAE,持久性_CV-R²_mean,持久性_CV-R²_std,线性回归_CV-R²_mean,线性回归_CV-R²_std,Ridge_Top5_CV-R²_mean,Ridge_Top5_CV-R²_std,RF_Top5_CV-R²_mean,RF_Top5_CV-R²_std
兰山嘴,584,154,0.1955,0.2903,0.2823,0.8486,0.3268,0.2655,"y_lag1, y_lag2, y_lag3, y_lag5, y_lag4",0.7819,0.3489,0.2611,0.7759,0.3171,0.2674,"y_lag1, y_lag2, y_lag3, y_lag4, y_lag5",0.3485,0.2612,0.3171,0.2674,0.1912,0.1844,0.1815,0.1855,0.4934,0.2605,0.3438,0.2868,0.4487,0.216,0.2389,0.3063
拖山,610,161,0.6286,0.8395,0.6421,0.9305,-0.2076,1.5137,"y_lag1, y_lag2, y_lag3, y_lag4, y_lag5",0.8772,-0.0721,1.4262,0.8921,0.6554,0.8086,"y_lag1, y_lag2, y_lag3, y_lag4, y_lag5",-0.0721,1.4262,0.6554,0.8086,0.5103,0.5112,0.5068,0.9557,0.6563,0.2098,0.666,0.1972,0.6669,0.1955,0.5057,0.2978
锡东水厂,642,168,0.6429,0.3548,0.6344,0.7473,0.4935,0.4225,"y_lag1, y_lag2, y_lag3, y_lag5, doy_cos",0.6559,0.2937,0.499,0.6211,0.6592,0.3466,"y_lag1, y_lag2, y_lag3, doy_cos, CODMn_lag1",0.3654,0.473,0.6516,0.3504,0.2349,0.2463,0.2436,0.3391,0.5956,0.2086,0.6028,0.1763,0.6237,0.1406,0.5108,0.1298
